,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
81,auto,auto,,,,,,,,,,,,,,,,,,,,,,
82,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
83,office_furniture,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,,,,
84,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
85,fashion_bags_accessories,fashion_bags_accessories,fashion_bags_accessories,,,,,,,,,,,,,,,,,,,,,
86,fixed_telephony,fixed_telephony,,,,,,,,,,,,,,,,,,,,,,
87,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
88,computers_accessories,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,
89,bed_bath_table,cool_stuff,,,,,,,,,,,,,,,,,,,,,,
90,kitchen_dining_laundry_garden_furniture,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
91,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
92,stationery,stationery,,,,,,,,,,,,,,,,,,,,,,
93,computers_accessories,computers_accessories,computers_accessories,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,
94,bed_bath_table,bed_bath_table,bed_bath_table,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,
95,toys,toys,,,,,,,,,,,,,,,,,,,,,,
96,office_furniture,office_furniture,,,,,,,,,,,,,,,,,,,,,,
97,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,
98,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
99,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
100,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
101,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
102,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
103,fashion_bags_accessories,,,,,,,,,,,,,,,,,,,,,,,
104,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
105,computers_accessories,consoles_games,consoles_games,,,,,,,,,,,,,,,,,,,,,
106,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
107,auto,auto,,,,,,,,,,,,,,,,,,,,,,
108,pet_shop,pet_shop,,,,,,,,,,,,,,,,,,,,,,
109,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
110,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
111,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
112,sports_leisure,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
